f_id,event_id,event_name_id,president,event_detail,event_address,event_date_end,event_time_end,event_date_start,event_time_start
607,13,2,<blank>,ท่านอัยการ กฤษณะ กสิโสภา-ครอบครัว<br />\r\nบริษัทการบินไทย จำกัด(มหาชน)<br />\r\nภรรยา บุตร ธิดา-ญาติๆ,วัดแก้วฟ้าจุฬามณี ถนนนครไชยศรี กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-14,10:00
606,14,1,<blank>,<blank>,ศาลา 4 วัดตรีทศเทพ ตำบลบ้านพานถม กรุงเทพมหานคร   ,2012-01-16,19:00,2012-01-10,19:00
605,15,1,<blank>,<blank>,ศาลา 2 วัดมกุฎกษัตริยาราม ตำบลบางขุนพรหม กรุงเทพมหานคร   ,2012-01-14,19:00,2012-01-10,19:00
605,16,3,<blank>,<blank>,วัดมกุฎกษัตริยาราม ตำบลบางขุนพรหม กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-15,14:00
604,17,1,<blank>,<blank>,วัดโสมนัสวิหาร ตำบลวัดโสมนัส กรุงเทพมหานคร   ,2012-01-12,<blank>,2012-01-11,<blank>
604,18,3,<blank>,<blank>,วัดโสมนัสวิหาร ตำบลวัดโสมนัส กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-14,17:30
603,19,1,<blank>,<blank>,บ้านเลขที่ 9 ซอยสุวรรณเกษม ถนนจรัลสนิทวงศ์ 13 แขวงบางแวก เขตภาษีเจริญ กรุงเทพมหานคร   ,2012-01-16,19:00,2012-01-10,19:00
602,20,4,<blank>,<blank>,จิตกาธาน วัดมเหยงคณ์ ต.หันตรา พระนครศรีอยุธยา   ,0000-00-00,<blank>,2012-01-15,17:00
601,21,1,<blank>,<blank>,วัดพระศรีมหาธาตุ บางเขน ศาลา 16 กรุงเทพมหานคร   ,2012-01-13,18:00,2012-01-09,18:00
601,22,3,<blank>,<blank>,วัดพระศรีมหาธาตุ กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-15,14:00
600,23,4,<blank>,นางผกา เมฆากุล<br />\r\nนายพีรศักดิ์-นางเสาวนีย์ เมฆากุล<br />\r\nนายธำรง-นางอภิรัตน์  เมฆากุล<br />\r\nนายสุวิทย์-นางกรรณิการ์ ดิษยวงศ์<br />\r\nนายสุเทพ-นางสิริวรรณ วีรพัฒนคุปต์<br />\r\nนางสาวสุชาดา เมฆากุล<br />\r\nนางสาวอัจฉรา เมฆากุล,ศาลาทักษิณาประดิษฐ (เมรุ1) วัดพระศรีมหาธาตุวรมหาวิหาร บางเขน กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-15,16:00
599,24,4,<blank>,<blank>,ฌาปนสถาน วัดพระศรีมหาธาตุ บางเขน กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-01-14,16:00
598,25,1,<blank>,นางเพ็ญธิดา วินมูน(ภรรยา)<br />\r\nกัปตันพัฒน์-ปริศนา วินมูน(บุตร)<br />\r\nกัปตันพิชญ์-พัชรพรรณ เดชประดิยุทธ์ วินมูน(บุตร)<br />\r\nนางวิลาสินี-ปกรณ์ นฤปกรณ์ (บุตร),ศาลา 13 วัดพระศรีมหาธาตุ กรุงเทพมหานคร   ,2012-01-13,18:30,2012-01-11,18:30
596,26,1,<blank>,วันที่ 7 มกราคม พ.ศ. 2555<br />\r\nเวลา 12.00 น. เคลื่อนศพไปสุสานไพศาล สว่างธรรมสถาน ต.ท่าถ่าน อ.พนมสารคาม จ.ฉะเชิงเทรา<br />\r\nเวลา 15.00 น. บรรจุศพ,วัดท่าเกวียน ตำบลพนมสารคาม อ.พนมสารคาม ฉะเชิงเทรา   ,2012-01-02,20:00,2012-01-02,20:00
595,27,3,<blank>,<blank>,วัดสามกอ ตำบลสิบเอ็ดศอก อ.บ้านโพธิ์ ฉะเชิงเทรา   ,0000-00-00,<blank>,2012-01-07,16:00
592,28,1,<blank>,<blank>,วัดธาตุทอง ศาลา9  กรุงเทพมหานคร   ,2012-01-08,19:00,2011-01-05,19:00
590,29,1,<blank>,<blank>,วัดชุมพรรังสรรค์ ชุมพร   ,2011-12-28,20:00,2011-12-23,20:00
590,30,2,<blank>,<blank>,วัดชุมพรรังสรรค์ ชุมพร   ,0000-00-00,<blank>,2011-12-29,13:00
589,31,1,<blank>,และวันที่ 4-5 มกราคม 2555 เวลา 19.00 น.<br />\r\n(งดสวด วันที่ 31 ธันวาคม 2554 และ 1-3 มกราคม 2555),วัดชลประทานรังสฤษดิ์ ศาลา6 นนทบุรี   ,2011-12-30,19:00,2011-12-26,19:00
588,32,1,<blank>,<blank>,ศาลา 10 วัดบำเพ็ญเหนือ(มีนบุรี) กรุงเทพมหานคร   ,2011-12-28,19:00,2011-12-24,19:00
588,33,3,<blank>,<blank>,วัดบำเพ็ญเหนือ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-29,17:00
587,34,1,<blank>,<blank>,ศาลาจตุรมุข วัดเวฬุวนาราม (วัดไผ่เขียว) กรุงเทพมหานคร   ,2011-12-25,19:00,2011-12-21,19:00
587,35,2,<blank>,<blank>,วัดเวฬุวนาราม กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-26,17:00
586,36,3,<blank>,<blank>,วัดสระเกศราชวรมหาวิหาร(ภูเขาทอง) กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-26,17:00
585,37,3,<blank>,<blank>,ฌาปนสถานสำนักงานตำรวจแห่งชาติ\r\nวัดตรีทศเทพวรวิหาร ถนนประชาธิปไตย เขตพระนคร กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-24,17:00
584,38,1,<blank>,<blank>,ศาลา 10 วัดมกุฏกษัตริยาราม  กรุงเทพมหานคร   ,2011-12-22,19:00,2011-12-16,19:00
584,39,3,<blank>,<blank>,วัดมกุฏกษัตริยาราม  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-24,18:00
583,40,1,<blank>,<blank>,ศาลา 2 วัดกลางคลองสี่ ลำลูกกา ปทุมธานี   ,2011-12-27,19:00,2011-12-23,19:00
583,41,2,<blank>,<blank>,วัดกลางคลองสี่ ลำลูกกา ปทุมธานี   ,0000-00-00,<blank>,2011-12-28,16:00
582,42,1,<blank>,<blank>,วัดสระเกศ ศาลาใหญ่ กรุงเทพมหานคร   ,2011-12-22,18:30,2011-12-20,18:30
582,43,2,<blank>,<blank>,วัดสระเกศ ศาลาใหญ่ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-27,17:00
581,44,1,<blank>,<blank>,ศาลา 2 วัดบึงทองหลาง ลาดพร้าว 101  กรุงเทพมหานคร   ,2011-12-25,18:30,2011-12-21,18:30
580,45,3,<blank>,<blank>,เมรุวัดพระศรีมหาธาตุ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-25,17:30
579,46,1,<blank>,<blank>,วัดพระศรีมหาธาตุ ศาลา 10 กรุงเทพมหานคร   ,2011-12-27,19:00,2011-12-22,19:00
579,47,3,<blank>,พิธีรดน้ำศพ วันที่ 21 ธันวาคม พ.ศ. 2554,วัดพระศรีมหาธาตุ  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-28,16:00
578,48,1,<blank>,<blank>,วัดธาตุทอง ศาลา 5 กรุงเทพมหานคร   ,2011-12-23,19:00,2011-12-20,19:00
578,49,2,<blank>,<blank>,วัดธาตุทอง กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-24,14:00
577,50,1,<blank>,<blank>,ศาลา 8/2 วัดพระศรีมหาธาตุ กรุงเทพมหานคร   ,0000-00-00,18:30,2011-12-21,18:30
577,51,3,<blank>,ผ.ศ.(พิเศษ)น.ท.พ.ญ. ธัญญา เชฏฐากุล ภรรยา<br />\r\nวรังคนา-ชญามญช์-ชานน เชฏฐากุล บุตรธิดา,เมรุวัดพระศรีมหาธาตุ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-22,16:00
576,52,2,<blank>,บุตรและธิดา เจ้าภาพ,เมรุ วัดมกุฎกษัตริยาราม บางขุนพรหม กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-22,17:00
575,53,1,<blank>,<blank>,ศาลา1 วัดตรีทศเทพวรวิหาร กรุงเทพมหานคร   ,2011-12-24,19:00,2011-12-18,19:00
575,54,4,<blank>,พล.ต.อ. สมชาย<br />\r\nพล.อ.ต.(หญิง) ทรงพร วาณิชเสนี,วัดตรีทศเทพวรวิหาร กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-25,16:00
574,55,1,<blank>,<blank>,ศาลาบำเพ็ญกุศล (ศาลา 5/1) วัดตรีทศเทพวรวิหาร ถนนประชาธิปไตย เขตพระนคร  กรุงเทพมหานคร   ,0000-00-00,19:00,2011-12-23,19:00
574,56,3,<blank>,นางปัจฉิมา ธนสันติ (ภรรยา)<br />\r\nนางสาวมนชนก-นางสาวมานิตา ธนสันติ(บุตร)และน้องๆ<br />\r\n,ฌาปนสถานสำนักงานตำรวจแห่งชาติ วัดตรีทศเทพวรวิหาร ถนนประชาธิปไตย เขตพระนคร  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-24,17:00
573,57,3,<blank>,ภรรยา-บุตร-ธิดา เจ้าภาพ,ฌาปนกิจสถานกองทัพบกวัดโสมนัสวิหาร ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-19,17:30
572,58,2,<blank>,<blank>,วัดเสมียนนารี ตำบลลาดยาว กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-17,15:00
571,59,1,<blank>,พิธีกงเต๊ก วันที่ 18 ธันวาคม เวลา 16.00 น.<br />\r\nพิธีฝัง สุสานฮุ้งเต็ก จ.ชลบุรี <br />\r\nวันที่ 15 ธันวาคม ,วัดอุทัยธาราม (พระราม 9) ศาลา 5 กรุงเทพมหานคร   ,2011-12-16,19:30,2011-12-15,19:30
570,60,1,<blank>,(14-16 ธันวาคม พระพิธีธรรมในพระบรมราชูปถัมภ์),ศาลส 9 วัดเทพศิรินทราวาส ตำบลวัดเทพศิรินทร์ กรุงเทพมหานคร   ,2011-12-18,<blank>,2011-12-14,<blank>
569,61,1,<blank>,<blank>,ศาลา 9 วัดพระศรีมหาธาตุ บางเขน กรุงเทพมหานคร   ,2011-12-23,18:30,2011-12-18,18:30
569,62,3,<blank>,รดน้ำศพ วันที่ 18 ธันวาคม เวลา 16.00 น.<br />\r\nวันที่ 23 ธันวาคม สวดพระอภิธรรม 18.00 น.,วัดพระศรีมหาธาตุ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-24,14:00
568,63,1,<blank>,<blank>,วัดลาดปลาเค้า ศาลา 2 กรุงเทพมหานคร   ,2011-12-19,19:00,2011-12-15,19:00
568,64,2,<blank>,นายพันธศักดิ์ ธีรศานต์ (บุตร)<br />\r\nเจ้าภาพ,วัดลาดปลาเค้า กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-20,16:00
567,65,3,<blank>,<blank>,วัดพระศรีมหาธาตุ อนุสาวรีย์ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-20,17:00
566,66,5,<blank>,<blank>,วัดธาตุทอง พระโขนง กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-18,20:00
565,67,2,<blank>,<blank>,วัดเทวสุนทร ตำบลลาดยาว กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-18,17:00
564,68,3,<blank>,<blank>,เมรุ วัดธาตุทอง กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-17,17:00
563,69,1,<blank>,<blank>,วัดธาตุทอง ศาลา 7 กรุงเทพมหานคร   ,2011-12-18,19:00,2011-12-13,19:00
562,70,3,<blank>,<blank>,เมรุหลวงหน้าพลับพลาอิศริยาภรณ์ วัดเทพศิรินทราวาส  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-18,17:00
560,71,1,<blank>,<blank>,วัดหัวลำโพง (ศาลา 3) กรุงเทพมหานคร   ,2011-12-18,19:00,2011-12-12,19:00
560,72,2,<blank>,<blank>,วัดหัวลำโพง  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-19,16:00
559,73,1,<blank>,<blank>,วัดตรีทศเทพ (ศาลา 5) กรุงเทพมหานคร   ,2011-12-16,19:00,2011-12-12,19:00
559,74,3,<blank>,พิธีกงเต๊ก<br />\r\nวันที่ 17 ธันวาคม 2554<br />\r\nเวลา 14.00 น.,วัดตรีทศเทพ  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-18,16:00
558,75,1,<blank>,<blank>,วัดบึงทองหลาง (ศาลา 5) กรุงเทพมหานคร   ,2011-12-15,19:00,2011-12-11,19:00
558,76,5,<blank>,พิธีกงเต๊ก<br />\r\nวันที่ 16 ธันวาคม 2554,บ้านบึง ชลบุรี   ,0000-00-00,<blank>,2011-12-17,<blank>
557,77,1,<blank>,<blank>,วัดมกุฎกษัตริยาราม  กรุงเทพมหานคร   ,0000-00-00,19:00,2011-12-16,19:00
557,78,3,<blank>,<blank>,วัดมกุฎกษัตริยาราม  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-17,14:00
556,79,1,<blank>,<blank>,วัดธาตุทอง ศาลาเสถียรไทย กรุงเทพมหานคร   ,2011-12-17,19:00,2011-12-11,19:00
556,80,2,<blank>,<blank>,วัดธาตุทอง  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-18,14:00
555,81,1,<blank>,<blank>,วัดมกุฎกษัตริยาราม (ศาลา 8) กรุงเทพมหานคร   ,2011-12-17,19:00,2011-12-11,19:00
554,82,1,<blank>,<blank>,วัดพระศรีมหาธาตุ (ศาลา 8/2) ตำบลอนุสาวรีย์ กรุงเทพมหานคร   ,0000-00-00,18:30,2011-12-21,18:30
554,83,3,<blank>,<blank>,เมรุวัดพระศรีมหาธาตุ บางเขน กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-22,16:00
553,84,1,<blank>,<blank>,วัดพระศรีมหาธาตุ บางเขน กรุงเทพมหานคร   ,2011-12-19,18:30,2011-12-12,18:30
552,85,1,<blank>,<blank>,วัดศรีบุญเรือง (ศาลา 3) ซ.รามคำแหง 107 กรุงเทพมหานคร   ,2011-12-14,19:30,2011-12-07,19:30
552,86,3,<blank>,<blank>,วัดศรีบุญเรือง ซ.รามคำแหง 107 กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-15,16:00
551,87,1,<blank>,พิธีกงเต๊ก<br />\r\nวันที่ 17 ธันวาคม 2554<br />\r\nเวลา 17.00 น.<br />\r\n<br />\r\nผู้มาร่วมงาน กรุณาแต่งกายสีสุภาพ<br />\r\nเว้นสีดำและสีขาว,หอประชุม โรงเรียนเสสะเวชวิทยา ถ.จรัญสนิทวงศ์  กรุงเทพมหานคร   ,2011-12-18,19:00,2011-12-10,19:00
550,88,1,<blank>,<blank>,วัดไผ่ตัน  กรุงเทพมหานคร   ,2011-12-11,19:00,2011-12-10,19:00
550,89,2,<blank>,<blank>,วัดไผ่ตัน  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-12,14:00
549,90,2,<blank>,<blank>,วัดขนอน  ราชบุรี   ,0000-00-00,<blank>,2011-12-11,16:00
548,91,1,<blank>,<blank>,วัดนวลจันทร์ บึงกุ่ม ศาลา 9 กรุงเทพมหานคร   ,2011-12-11,19:00,2011-12-08,19:00
548,92,3,<blank>,วันที่ 12 ธันวาคม 2554 พิธีกงเต๊กทั้งวัน,เมรุ วัดนวลจันทร์ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-13,17:00
547,93,1,<blank>,<blank>,วัดบางนาใน ศาลา 4 กรุงเทพมหานคร   ,2011-12-10,19:00,2011-12-06,19:00
547,94,3,<blank>,บุตร-ธิดา และหลานๆ,เมรุ วัดบางนาใน กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-11,16:00
546,95,1,<blank>,วันที่ 18 ธันวาคม 2554<br />\r\nเวลา 08.28 น.<br />\r\nเคลื่อนสรีระสังขารสู่ ถ้ำพระ,วัดพุทธกาญจนมุนี ต.หนองหญ้า กาญจนบุรี   ,2011-12-16,19:30,2011-12-09,19:30
545,96,1,<blank>,<blank>,วัดบางเตย (ศาลา 2) กรุงเทพมหานคร   ,2011-12-14,19:00,2011-12-09,19:00
545,97,2,<blank>,<blank>,วัดบางเตย  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-15,17:00
544,98,1,<blank>,<blank>,วัดโสมนัสวิหาร  กรุงเทพมหานคร   ,2011-12-11,19:00,2011-12-06,19:00
544,99,2,<blank>,<blank>,วัดโสมนัสวิหาร  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-12,16:00
543,100,1,<blank>,<blank>,วัดเทพศิรินทราวาส (ศาลา 4) กรุงเทพมหานคร   ,2011-12-12,19:00,2011-12-09,19:00
542,101,1,<blank>,<blank>,วัดบางนาใน (ศาลา 4) กรุงเทพมหานคร   ,2011-12-10,19:00,2011-12-09,19:00
542,102,3,<blank>,<blank>,วัดบางนาใน  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-11,16:00
541,103,1,<blank>,<blank>,วัดพระศรีมหาธาตุ บางเขน กรุงเทพมหานคร   ,2011-12-11,19:00,2011-12-09,19:00
541,104,3,<blank>,งดสวด ( วันที่ 10 ธันวาคม 2554 ),วัดพระศรีมหาธาตุ บางเขน กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-13,16:00
540,105,1,<blank>,<blank>,วัดพลับพลาไชย  สุพรรณบุรี   ,2011-12-11,19:00,2011-12-09,19:00
540,106,2,<blank>,<blank>,วัดพลับพลาไชย  สุพรรณบุรี   ,0000-00-00,<blank>,2011-12-12,17:00
539,107,3,<blank>,<blank>,วัดเทพศิรินทราวาส  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-11,17:00
538,108,1,<blank>,<blank>,วัดเสมียนนารี  กรุงเทพมหานคร   ,2011-12-10,19:00,2011-12-08,19:00
538,109,2,<blank>,<blank>,วัดเสมียนนารี  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-11,17:00
537,110,2,<blank>,<blank>,วัดพรหมวงศาราม ห้วยขวาง กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-07,<blank>
536,111,2,<blank>,<blank>,วัดบางนางบุญ เชิงสะพานนวลฉวี ปทุมธานี   ,0000-00-00,<blank>,2011-12-08,17:00
535,112,1,<blank>,<blank>,วัดลาดปลาเค้า ศาลา 7  กรุงเทพมหานคร   ,2011-12-07,19:00,2011-12-03,19:00
535,113,2,<blank>,ญาติ<br />\r\nเพื่อนๆโรงเรียนนวมินทราชินูทิศ บดินทรเดชา รุ่น 10<br />\r\nบริษัท ยิบอินซอย จำกัด,เมรุ วัดลาดปลาเค้า กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-08,15:00
534,114,1,<blank>,<blank>,วัดพระศรีมหาธาตุ (ศาลา 12) บางเขน กรุงเทพมหานคร   ,2011-12-07,18:30,2011-12-06,18:30
534,115,3,<blank>,<blank>,วัดพระศรีมหาธาตุ บางเขน\r\n กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-08,17:00
533,116,1,<blank>,<blank>,วัดโสมนัสวิหาร  กรุงเทพมหานคร   ,2011-12-03,18:30,2011-12-02,18:30
533,117,3,<blank>,<blank>,วัดโสมนัสวิหาร  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-07,17:30
531,118,1,<blank>,<blank>,วัดธาตุทอง  กรุงเทพมหานคร   ,2011-12-01,19:00,2011-11-30,19:00
531,119,3,<blank>,<blank>,วัดธาตุทอง  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-03,14:00
530,120,1,<blank>,<blank>,วัดตรีทศเทพ (ศาลา 5/1) กรุงเทพมหานคร   ,2011-12-04,19:00,2011-11-30,19:00
529,122,1,<blank>,<blank>,วัดมกุฎกษัตริยาราม  กรุงเทพมหานคร   ,2011-12-03,19:00,2011-11-28,19:00
529,123,4,<blank>,พิธีกงเต๊ก <br />\r\n<br />\r\nวันที่ 2 ธันวาคม 2554<br />\r\nเวลา 17.00 น.\r\n\r\nนางปิยวดี จันทร์จำรัสแสง <br />\r\n\r\nนายธวัชชัย-นางจิราภรณ์  จันทร์จำรัสแสง<br />\r\n  \r\n\r\nนายกิจ-นางเพ็ญพิมล คงอาชาภัทร\r\n<br />\r\n\r\nนายอนันต์-พ.ญ.พัชรินทร์ จันทร์จำรัสแสง<br />\r\n \r\nนายกฤษดา จันทร์จำรัสแสง <br />\r\nนายกำพล จันทร์จำรัสแสง \r\nนายอัมพร-นางวันวิศาข์ จันทร์จำรัสแสง<br />\r\n นายชาติชาย-นางเจตนา\r\n จันทร์จำรัสแสง\r\n<br />\r\n ลูกหลาน ญาติร่วมสกุล ทุกคนเจ้าภาพ \r\n,วัดมกุฎกษัตริยาราม  กรุงเทพมหานคร   ,0000-00-00,<blank>,2012-11-17,17:00
528,124,3,<blank>,<blank>,วัดศิริพงษ์ธรรมนิมิต ซอยวัชรพล กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-12-01,17:30
527,125,1,<blank>,<blank>,ศาลา 3 วัดเทพศิรินทราวาสราชวรวิหาร  กรุงเทพมหานคร   ,2011-12-11,19:00,2011-12-06,19:00
526,126,1,<blank>,<blank>,วัดเทพศิรินทราวาส  กรุงเทพมหานคร   ,2011-11-29,19:00,2011-11-23,19:00
526,127,2,<blank>,<blank>,วัดเทพศิรินทราวาส  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-30,17:00
525,128,1,<blank>,<blank>,วัดนวลจันทร์ (บางขวด) กรุงเทพมหานคร   ,2011-11-26,19:00,2011-11-22,19:00
525,129,3,<blank>,<blank>,วัดนวลจันทร์ ตำบลคลองกุ่ม กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-27,13:00
524,130,3,<blank>,<blank>,วัดหัวลำโพง  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-26,14:00
523,131,3,<blank>,<blank>,วัดเวฬุราชิณ บางยี่เรือ กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-29,17:00
522,132,3,<blank>,<blank>,วัดโสมนัสวิหาร  กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-29,16:30
521,133,3,<blank>,<blank>,วัดวรพรตสังฆวาส ต.บางนาง อ.พานทอง ชลบุรี   ,0000-00-00,<blank>,2011-11-27,16:00
520,134,1,<blank>,<blank>,วัดลาดพร้าว กรุงเทพมหานคร   ,2011-11-26,18:30,2011-11-22,18:30
520,135,2,<blank>,บุตรธิดา และ หลาน และ ญาติ จ.ลำพูน<br />\r\nการเคหะแห่งชาติ ฝ่ายบริหารการเงินและการลงทุน<br />\r\nบ.อู่ไทยเส็ง(1981)จก.<br />\r\n<br />\r\nหมายเหตุ: วันที่ 25 พ.ย. 54 หยุดสวด<br />\r\n                 วันที่ 26 พ.ย. 10.30 น.<br />\r\n         ถวายภัตตาหารเพล     10 รูป<br />\r\n                 ,เมรุ วัดลาดพร้าว กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-26,13:00
519,136,1,<blank>,<blank>,วัดสระเกศ กรุงเทพมหานคร   ,2011-11-26,19:00,2011-11-22,19:00
518,137,1,<blank>,<blank>,บ้านทุ่งขา ทวดทอง  นครศรีธรรมราช   ,2011-11-23,19:30,2011-11-19,19:30
518,138,5,<blank>,<blank>,วัดทุ่งแย้ อ.เมือง นครศรีธรรมราช   ,0000-00-00,<blank>,2011-11-24,15:00
517,139,1,<blank>,<blank>,วัดธาตุทอง กรุงเทพมหานคร   ,0000-00-00,19:00,2011-11-26,19:00
517,140,3,<blank>,นายบุรินทร์ หิรัญบูรณะ และครอบครัว(เจ้าภาพ),เมรุใน วัดธาตุทอง กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-27,17:00
516,141,1,<blank>,<blank>,วัดธาตุทอง กรุงเทพมหานคร   ,2011-11-22,18:00,2011-11-21,18:00
516,142,2,<blank>,<blank>,วัดธาตุทอง กรุงเทพมหานคร   ,0000-00-00,<blank>,2011-11-26,17:00
515,143,1,<blank>,<blank>,วัดมกุฎกษัตริยาราม ศาลา 6 กรุงเทพมหานคร   ,2011-11-21,19:00,2011-11-16,19:00
