shop_id,shop_fax,shop_desc,shop_name,shop_site,shop_time,shop_email,shop_provi,shop_amphur,shop_address,shop_district,shop_province,shop_telephone
18,022669331,ขายดอกไม้สด ดอกไม้ประดิษฐ์ จัดกระเช้าของขวัญ พวงหรีด จัดช่อดอกไม้ จัดกระเช้าดอกไม้ จัดแจกัน มีบริการจัดส่ง และจัดงานนอกสถานที่ จัดดอกไม้ประจำสำนักงาน,ฟิเดีย ร้านดอกไม้,http://www.fideaflower.com,จันทร์-ศุกร์ 07:30-18:00 เสาร์ 08:30-16:00 อาทิตย์ 08:30-16:00,info@fideaflower.com,กรุงเทพมหานคร,บางรัก   ,8 ซอยศรีเวียง สีลม แขวงสุริยวงศ์ เขตบางรัก กทม 10500,สุริยวงศ์,1,"026302494,022669331,0816977789"
19,022225333,รับจัดพวงหรีด ดอกไม้สด แจกัน กระเช้า ดอกไม้สด-แห้ง พวงหรีดผ้าห่ม รับส่งทั่วราชอาณาจักร,ร้าน มาลากิจจ์,<blank>,ทำการทุกวัน 08:00-17:00,<blank>,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย   ,379  ถนนหลวง แขวงวัดเทพศิรินทร์ เขตป้อมปราบศัตรูพ่าย กทม 10100,วัดเทพศิรินทร์   ,1,"026215499,022225333,022229297,0818028416,0859008869"
20,<blank>,จำหน่ายและรับจัดดอกไม้ ทั้งในและนอกสถานที่,ร้าน ปัทมาภรณ์ ฟลอริส,http://www.pattamaporn.com,ทำการทุกวัน 07:00-20:00,<blank>,กรุงเทพมหานคร,พระนคร,159  ประชาธิปไตย แขวงบางขุนพรหม เขตพระนคร กทม 10200,บางขุนพรหม   ,1,"026293447,026294225"
21,<blank>,รับจัดดอกไม้สดในและนอกสถานที่ รับจัดดอกไม้งานพิธีต่างๆ รับจัดช่อบูเก้ รับจัดกระเช้า รับจัดแจกัน ดอกไม้ประดิษฐ์ ดอกไม้ดินญี่ปุ่น บริการส่งดอกไม้นอกสถานที่ รับจัดดอกไม้สด รับจัดช่อดอกไม้,เฟริสท์ ฟลอริสท์,<blank>,ทำการทุกวัน 08:00-20:00,<blank>,กรุงเทพมหานคร,ปทุมวัน   ,432/9 จุฬา ซอย 64  แขวงวังใหม่ เขตปทุมวัน กทม 10330,วังใหม่,1,"022526298,0819266177"
22,<blank>,รับจัดส่งดอกไม้สด ดอกไม้แห้ง บริการจัด-ส่งดอกไม้ช่อ กระเช้า แจกัน พวงหรีด ตะกร้าผลไม้ ส่งด่วน ส่งฟรี ทั่วกรุงเทพ และปริมณฑล,ร้านดอกไม้ด่วน,http://www.dokmaiduan.com,ทำการทุกวัน 09:00-18:00,anya1234@gmail.com,กรุงเทพมหานคร,ห้วยขวาง   ,11 ซอย 20 มิถุนา แยก 11 สุทธิสาร แขวงห้วยขวาง เขตห้วยขวาง กทม 10320,ห้วยขวาง   ,1,022748928
23,<blank>,รับจัดส่งดอกไม้สด ดอกไม้แห้ง บริการจัด-ส่งดอกไม้ช่อ กระเช้า แจกัน พวงหรีด ตะกร้าผลไม้ ส่งด่วน ส่งฟรี ทั่วกรุงเทพ และปริมณฑล,ร้านดอกไม้ด่วน,http://www.dokmaiduan.com,ทำการทุกวัน 09:00-18:00,anya1234@gmail.com,กรุงเทพมหานคร,ห้วยขวาง   ,11 ซอย 21 มิถุนา สุทธิสาร แขวงห้วยขวาง เขตห้วยขวาง กทม 10320,ห้วยขวาง   ,1,0857557744
24,<blank>,รับจัดดอกไม้สด-แห้ง ตกแต่งสถานที่งานแต่งงาน งานอีเว้นท์ งานรับปริญญา ทำบุญขึ้นบ้านใหม่ งานรื่นเริงต่างๆ จัดแจกัน กระเช้าดอกไม้-ผลไม้ พวงหรีด จัดดอกไม้งานศพ ตกแต่งเมรุ รับแกะสลักผัก-ผลไม้ สบู่ รับสอนและเป็นวิทยากรสอนอาชีพ รับจัดตกแต่งดอกไม้ทั้งในและนอกสถานที่ และเช่าอุปกรณ์จัดงาน,ใบตองฟลอรีส ร้านดอกไม้,http://be-wararat.hi5.com,ทำการทุกวัน 00:00-24:00,bbwararat@hotmail.com,กรุงเทพมหานคร,หนองแขม   ,14/243  หมู่บ้านวิสต้าอเวนิวส์ ซอยเพชรเกษม 81   เขตหนองแขม กทม 10160,หนองค้างพลู ,1,"024892248,0816432410"
25,<blank>,บริการรับจัด รับ-ส่งดอกไม้ 24 ชม. ในราคาพิเศษ บริการ จัดช่อดอกไม้ จัดแจกัน กระเช้า ตุ๊กตา พวงมาลัย พานพิธีต่าง ๆ พวงหรีด(ดอกไม้สด-แห้ง) รับจัดดอกไม้นอกสถานที่ในงานต่าง ๆ บริการประทับใจ ในราคาเป็นกันเอง,ประดับดอกไม้,<blank>,ทำการทุกวัน 00:00-24:00,<blank>,กรุงเทพมหานคร,ห้วยขวาง   ,45/2  ห้วยขวาง  เขตห้วยขวาง กทม 10320,ห้วยขวาง   ,1,026929116
26,028768254,<blank>,คิวปิด เฮ้าส์,http://www.cupidshouse.com,บริการ 24 ชม 00:00-24:00,zaranon@live.com,กรุงเทพมหานคร,ราษฎร์บูรณะ   ,1 ซอยสุขสวัสดิ์ 9/1  แขวงบางปะกอก เขตราษฎร์บูรณะ กทม 10140,บางปะกอก   ,1,"024682135,0895271155"
27,<blank>,"รับจัดช่อ, กระเช้า, แจกันดอกไม้, พวงหรีดสด-แห้ง, พวงมาลัย, บายศรี, รับจัดทั้งในและนอกสถานที่, บริการส่งดอกไม้, พวงหรีด, ทั่วกรุงเทพฯ, งานพิธีมงคล, งานศพ, งานพิธีต่างๆ ทุกโอกาส บริการ 24 ชม.",ร้าน บุปผามาลี,<blank>,24 ชม. 00:00-00:00,<blank>,กรุงเทพมหานคร,ดินแดง   ,11/4  รัชดา-ห้วยขวาง แขวงดินแดง เขตดินแดง กทม 10400,ดินแดง   ,1,"022763166,0816290741"
28,<blank>,ดอกไม้ ดอกไม้สด ดอกไม้ประดิษฐ์ รับจัดดอกไม้ จัดช่อดอกไม้ จัดช่อดอกไม้สด พวงหรีด กระเช้าดอกไม้ ช่อบูเก้ ดอกไม้นำเข้า ดอกไม้เมืองหนาว จัดดอกไม้งานแต่งงาน จัดดอกไม้ wedding ดอกไม้ปลีก-ส่ง พวงมาลัย มาลัยบ่าว-สาว,ต้อยดอกไม้สด ร้าน,<blank>,จันทร์-ศุกร์ 08:00-20:00 เสาร์ 08:00-20:00,<blank>,ขอนแก่น   ,เมืองขอนแก่น   ,582/28  กลางเมือง ตำบลในเมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000,ในเมือง   ,28,"043222093, 0857617279, 0831731956, 0833575257"
29,<blank>,<blank>,สุปรีดา ฟลอร่า ร้านดอกไม้สด-แห้ง,<blank>,<blank>,<blank>,อุดรธานี   ,เมืองอุดรธานี   ,55/16  ประชารักษา ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000,หมากแข้ง,29,"042222921,042222181"
30,<blank>,<blank>,พิ้งค์ ฟลาวเว่อร์,<blank>,<blank>,<blank>,ชลบุรี   ,หนองปรือ   ,512/9-10  พัทยากลาง ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20150,บางละมุง   ,11,"038415883,038375140"
31,025816025,รับจัดดอกไม้สด-ประดิษฐ์ จัดช่อ กระเช้าดอกไม้ แจกัน พวงหรีด จัดดอกไม้หน้าศพ จัดดอกไม้งานแต่ง งานพิธีต่างๆ บริการทั้งในและนอกสถานที่ บริการจัดส่งถึงที่ ออกแบบการจัดงานด้วยดอกไม้ในงานพิธีต่าง ๆ จัดดอกไม้ซุ้มประตู ช่อดอกไม้ กระเช้าดอกไม้ แจกันดอกไม้ พวงหรีด พานขันหมาก งานแต่งงาน ดอกไม้งานศพ ดอกไม้งานพิธีต่าง ในและนอกสถานทมี่,ปทิตตา ฟลาวเวอร์,<blank>,ทำการทุกวัน 09:00-18:30,pathitta_jiab@hotmail.com,ปทุมธานี   ,เมืองปทุมธานี   ,15/40  ปทุมสัมพันธ์ ตำบลบางปรอก อำเภอเมืองปทุมธานี ปทุมธานี 12000,บางปรอก   ,4,"029780791,0816133729"
32,<blank>,รับจดดอกไม้สด แจกันดอกไม้สด ดอกไม้ประดิษฐ์ พวงหรีดดอกไม้สด พวงหรีดผ้า,ร้าน วิจิตรมาลี,<blank>,ทำการทุกวัน 07:00-20:00,<blank>,กรุงเทพมหานคร,ภาษีเจริญ   ,15/35 หมู่ 9  เพชรเกษม แขวงบางหว้า เขตภาษีเจริญ กทม 10160,บางหว้า   ,1,"024673173,024580197"
33,025790181,จำหน่ายและรับจัดดอกไม้สด แห้ง จัดพวงหรีด จัดตามงานพิธีต่างๆ ทั้งในและนอกสถานที่ บริการส่งและรับสอนจัดดอกไม้ ขนมมงคล,ร้าน สุพรรณิการ์,http://www.supannikar.com,ทำการทุกวัน 07:00-20:00,info@supannikar.com,กรุงเทพมหานคร,จตุจักร,21/21-2  งามวงศ์วาน แขวงลาดยาว เขตจตุจักร กทม 10900,ลาดยาว,1,"025795654,025799424,025791799"
34,028727183,"ดอกไม้สด-ดอกไม้ประดิษฐ์, รับจัดช่อ, กระเช้า, แจกัน, พวงหรีด, บริการจัดส่ง",กฤติยา ร้านดอกไม้,<blank>,จันทร์-ศุกร์ 08:00-20:00 เสาร์ 08:00-20:00,<blank>,กรุงเทพมหานคร,ทุ่งครุ   ,175  ประชาอุทิศ แขวงบางมด เขตทุ่งครุ กทม 10140,ทุ่งครุ   ,1,"028727183,0815547764"
35,023952713,"รับจัดดอกไม้สด, แห้งทุกชนิด รับจัดดอกไม้ในงานพิธีต่างๆ ทั้งในและนอกสถานที่ เช่น แจกัน กระเช้า ช่อดอกไม้ พวงหรีด พร้อมมีบริการรับส่ง ติดต่อคุณ กนิษฐา 08-9127-2711",จิปาถะ ดอกไม้,<blank>,ทำการทุกวัน 08:00-17:00,<blank>,สมุทรปราการ   ,ประโคนชัย   ,23-25  ประโคนชัย  อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270,ประโคนชัย ,2,"023952711,0891272711,0886649995"
36,025176690,รับจัดดอกไม้ งานแต่ง งานพิธีการ พวงหรีด รับจัดซุ้มดอกไม้ ซุ้มพิธีการ มีบริการส่ง,ช่อไม้ เมืองมีน,<blank>,จันทร์-ศุกร์ 08:00-18:00 เสาร์ 08:00-18:00,<blank>,กรุงเทพมหานคร,มีนบุรี   ,93/1 ซอยรามอินทรา 109  แขวงมีนบุรี เขตมีนบุรี กทม 10510,มีนบุรี   ,1,"025176690,0813186858,0818099358"
37,<blank>,ดอกไม้สด ดอกไม้แห้ง กระเช้า พวงหรีด งานแต่ง ซุ้มงานแต่ง แจกัน พวงมาลัย พวงมาลา ของชำร่วย ดอกไม้จันทร์ ชุดไทย ชุดวิวาห์ ซัก อบรีด รับแต่งหน้า ทำผมเจ้าสาว งานรับปริญญา ทั้งในและนอกสถานที่ Presentation งานแต่ง การ์ดงานแต่งงาน งานบวช งานศพ,ร้านดอกไม้ ศศิชา ฟลอรีสท์,<blank>,ทำการทุกวัน 07:00-21:00,sasicha08@hotmail.com,สมุทรปราการ   ,บางบ่อ   ,318/1-2 หมู่ 1   ตำบลบางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560,บางบ่อ   ,2,"027083381,0838810504,0879778301"
38,<blank>,"รับจัดดอกไม้สด-ดอกไม้แห้ง เนื่องในโอกาสต่าง ๆ เช่น งานช่อ, กระเช้า, แจกัน จำหน่ายและรับสอนดอกไม้ประดิษฐ์จากดินไทย-ดินญี่ปุ่น",ชวนชม ฟลาวเวอร์,http://chuanchomflower.hi5.com,ทำการทุกวัน 09:00-19:00,orange_juice_15@hotmail.com,กรุงเทพมหานคร,ทุ่งครุ   ,825/523 ซอยประชาอุทิศ 58/2  แขวงทุ่งครุ เขตทุ่งครุ กทม 10140,ทุ่งครุ   ,1,"028734249,0876833389,0818013332,0851341429"
39,024249606,ร้านดอกไม้ ดอกไม้สด ดอกไม้ประดิษฐ์ รับจัดช่อดอกไม้ กระเช้าดอกไม้ กระเช้าผลไม้ พวงหรีดดอกไม้ รับบริการจัดส่งถึงมือผู้รับในราคากันเอง,แชมป์ ฟลอรีส,http://www.champflorist.com,จันทร์-ศุกร์ 08:00-19:00 เสาร์ 08:00-19:00 อาทิตย์ 08:00-14:00,usa@champflorist.com,กรุงเทพมหานคร,บางพลัด,252  จรัญสนิทวงศ์ แขวงบางยี่ขัน เขตบางพลัด กทม 10700,บางยี่ขัน   ,1,"024249654,024249606,0819881533"
40,028615783,"รับจัดดอกไม้, พวงหรีด, แจกัน, กระเช้า, ช่อดอกไม้ทั้งสด-แห้ง ทุกชนิด ในงานพิธีต่าง ๆ ในและนอกสถานที่",ดวงพร ร้านดอกไม้,<blank>,ทำการทุกวัน 07:00-22:00,<blank>,กรุงเทพมหานคร,คลองสาน,146/2  ลาดหญ้า แขวงคลองสาน เขตคลองสาน กทม 10600,คลองสาน   ,1,"024379284,024391446,024373650,028615783,0893139284,0879759448"
41,026237532,บริการ รับจัดช่อ กระเช้า แจกัน หรีด ดอกไม้สด และดอกไม้ประดิษฐ์ และรับจัดงานนอกสถานที่ พร้อมออกแบบ ตามไตล์ที่ลูกค้าต้องการ,นภสร ร้านดอกไม้,http://www.napasorn.com,จันทร์-ศุกร์ 09:00-24:00 เสาร์ 09:00-24:00,yoo@napasorn.com,กรุงเทพมหานคร,พระนคร,67  จักรเพชร แขวงวังบูรพาภิรมย์ เขตพระนคร กทม 10200,วังบูรพาภิรมย์   ,1,"022226895,022212039,026213133,0818455372"
42,<blank>,ร้านดอกไม้,ฟลอรีสท์ กาย ร้านดอกไม้,http://www.floristguy.com,จันทร์-ศุกร์ 09:00-20:00 เสาร์ 10:30-18:00,floris_guy@hotmail.com,กรุงเทพมหานคร,สาทร   ,245  สาทรใต้ แขวงยานนาวา เขตสาทร กทม 10120,ยานนาวา   ,1,026756463
43,026560129,"บริการรับจัดดอกไม้, พวงหรีด, กระเช้าดอกไม้-ผลไม้, ช่อดอกไม้, แจกันดอกไม้, จัดผลไม้, กระเช้าผลไม้, ดอกไม้นำเข้า ดอกกุหลาบ, ดอกลิลลี่, ดอกฟรีเซีย, ดอกพีโอนี, ดอกไฮยาซิน, ดอกโมเมีย, ดอกออนิโต, ดอกไลเซ็นทัส, ดอกคาร่า, ดอกทิวลิป, ดอกสโนว์บอล, ดอกไอริส, ดอกแอเลี่ยม บริการจัดส่งทั่วประเทศ",เลอ บูเก้ ร้านดอกไม้,http://www.lebouquetbylak.com,จันทร์-ศุกร์ 08:30-20:00 เสาร์ 09:00-19:00,lakkoong50@gmail.com,กรุงเทพมหานคร,ปทุมวัน,973  เพลินจิต แขวงลุมพินี เขตปทุมวัน กทม 10330,ลุมพินี   ,1,026560129
44,036520701,รับจัดดอกไม้งานแต่งงาน งานศพ งานเลี้ยง จัดเลี้ยงทั้งในและนอกสถานที่รวมถึงงานหัตถศิลป ลงรักษ์ปิดทอง มีทั้งงานสั่งทำและจำหน่ายหน้าร้านค่ะ,ร้านดอกไม้คุณอี๊ด,<blank>,ทำการทุกวัน 07:00-18:00,chai_milkga_103@hotmail.com,สิงห์บุรี   ,เมืองสิงห์บุรี   ,998/3-4  สิงห์บุรี-ลพบุรี ตำบลบางพุทรา อำเภอเมืองสิงห์บุรี สิงห์บุรี 16000,บางพุทรา,8,"036511426, 0818184966"
45,<blank>,จำหน่ายดอกไม้สด ดอกไม้ประดิษฐ์ รับจัดแจกันดอกไม้ ช่อดอกไม้ กระเช้าดอกไม้ พวงหรีดดอกไม้สด พวงหรีดดอกไม้ประดิษฐ์,ร้าน ดอกไม้ ลิลลี่,<blank>,ทำการทุกวัน 07:00-20:00,<blank>,กาญจนบุรี   ,เมืองกาญจนบุรี   ,237/2  แสงชูโต ตำบลบ้านใต้ อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000,บ้านใต้,56,"034621033,0818037218"
46,038682120,"รับจัดดอกไม้สด,ดอกไม้แห้ง, ของขวัญของชำร่วย, ดอกไม้สดในงานพิธีต่างๆ ,ห่อช่อ ดอกไม้,จัดกระเช้า,จัดกระเช้าดอกไม้, จัดแจกัน, จัดแจกันดอกไม้,พวงมาลัยบ่าว-สาว",ร้านดอกไม้ บุญชู กิ๊ฟช๊อป,<blank>,จันทร์-ศุกร์ 07:30-19:30 เสาร์ 07:30-19:30,<blank>,ระยอง   ,เมืองระยอง   ,9/1  วัดมาบตาพุด ตำบลมาบตาพุด อำเภอเมืองระยอง ระยอง 21150,มาบตาพุด,12,"038682120,0818079100"
47,028126115,จำหน่ายและรับจัดดอกไม้สด ดอกไม้ประดิษฐ์ แห้ง จัดพวงหรีด ช่อดอกไม้ กระเช้า แจกัน รับงานทั้งในและนอกสถานที่ งานพิธีต่างๆ และบริการส่งถึงที่,ร้าน ชมพูแย้ม,<blank>,ทำการทุกวัน 07:00-20:00,<blank>,นครปฐม   ,สามพราน   ,50/72  เพชรเกษม ตำบลท่าข้าม อำเภอสามพราน นครปฐม 73110,ท่าข้าม   ,58,"028126009,028126115"
48,<blank>,"ลิลลี่ ฟลาวเวอร์ รับจัดงานดอกไม้สด, ดอกไม้ประดิษฐ์ทุกชนิด, ทั้งงานมงคลและงานศพ, พร้อมบริการส่ง",ลิลลี่ ฟลาวเวอร์ ร้าน,<blank>,ทำการทุกวัน 08:00-19:00,<blank>,พิษณุโลก   ,เมืองพิษณุโลก   ,158/8  พิชัยสงคราม ตำบลในเมือง อำเภอเมืองพิษณุโลก พิษณุโลก 65000,ในเมือง   ,52,"055212666, 055302740"
49,<blank>,ดอกไม้สด ดอกไม้ผ้า จัดเป็นแจกัน พวงหรีด ช่อดอกไม้ จัดงานศพ งานแต่งงาน โลงศพ,นันท์ศิริ ดอกไม้สด,<blank>,ทำการทุกวัน 07:30-19:30,<blank>,สิงห์บุรี   ,เมืองสิงห์บุรี   ,787  รัตนโกสินทร์ ตำบลบางพุทรา อำเภอเมืองสิงห์บุรี สิงห์บุรี 16000,สิงห์   ,8,"036512063,0866092904"
50,<blank>,รับจัดดอกไม้ในงานพิธีต่างๆ จำหน่ายดอกไม้สด ดอกไม้ประดิษฐ์ ช่อดอกไม้ แจกันดอกไม้ กระเช้าดอกไม้ ซุ้มงานแต่งงาน มาลัยบ่าว-สาว มาลัยข้อมือ พวงหรีด ดอกไม้หน้าศพ ขันหมากผ้า ขันหมากดอกไม้สด,ร้าน ช่อชัยพฤกษ์,<blank>,<blank>,w_namdan@hotmail.com,นครศรีธรรมราช   ,เมืองนครศรีธรรมราช   ,1001/8  กะโรม ตำบลคลัง อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000,คลัง ,63,075348068
51,<blank>,รับจัดดอกไม้ในงานพิธีต่างๆ กระเช้า แจกัน พวงหรีด บายศรี จำหน่าย ดอกไม้สด ดอกไม้ประดิษฐ์ อุปกรณ์จัดดอกไม้ บริการรับส่งทั่วไทย,สวง ดอกไม้,<blank>,ทำการทุกวัน 06:00-22:00,<blank>,บุรีรัมย์   ,เมืองบุรีรัมย์   ,299  จิระ ตำบลในเมือง อำเภอเมืองบุรีรัมย์ บุรีรัมย์ 31000,ในเมือง   ,20,"044601934,044601642,0895816565"
