term_id,content_id,term
268,85,วิตนีย์ ฮิวสตัน
270,85,ผลงาน
271,85,เสียชีวิต
1092,86,วิตนีย์ ฮิวสตัน
275,87,เณรตุ๊ด
276,87,มีสติ
277,87,ข่าวสาร
278,87,ศิลปากร
279,87,นักศึกษา
280,88,มีสติ
281,88,ข้ามถนน
282,88,ความเป็นความตาย
307,89,ครูลิลลี่
1013,90,พิธีพระราชทานเพลิงศพ
308,89,ลอยอังคาร
1136,91,การไปร่วมงานเผาศพ
1135,91,การไปร่วมงานศพ
1134,91,งานศพ
1210,93,ดูดวงรายวัน
1209,93,ดูดวง
1208,93,1 เมษายน 2556
1207,94,ดูดวงรายวัน
1206,94,ดูดวง
1205,94,2 เมษายน 2556
1203,95,พิธีศพ
1202,95,พิธีศพมุสลิม
1201,96,งานศพ
1200,96,ฝังศพ
1199,96,ธิเบต
1197,97,ดูดวง
1196,97,ดูดวงรายวัน
1195,98,งานศพ
1194,98,ชุดดำ
1192,99,ดูดวงรายวัน
1191,99,4 เมษายน 2556
1189,100,5 เมษายน 2556
1186,101,6 เมษายน 2556
1183,102,7 เมษายน 2556
1182,102,ดูดวงรายวัน
387,103,ดูดวง
386,103,ดูดวงรายวัน
854,104,ตำนานแม่นาคพระโขนง
853,104,ตำนานแม่นากพระโขนง
396,105,9 เมษายน 2556
395,105,ดูดวงรายวัน
397,105,ดูดวง
398,106,10 เมษายน 2556
399,106,ดูดวงรายวัน
400,106,ดูดวง
401,107,11 เมษายน 2556
402,107,ดูดวงรายวัน
403,107,ดูดวง
404,108,12 เมษายน 2556
405,108,ดูดวงรายวัน
406,108,ดูดวง
411,109,ดูดวงรายวัน
410,109,13 เมษายน 2556
412,109,ดูดวง
413,110,ดูดวงรายวัน
414,110,14 เมษายน 2556
415,110,ดูดวง
416,111,ดูดวงรายวัน
417,111,15 เมษายน 2556
418,111,ดูดวง
419,112,ดูดวงรายวัน
420,112,16 เมษายน 2556
421,112,ดูดวง
422,113,ดูดวงรายวัน
423,113,17 เมษายน 2556
424,113,ดูดวง
425,114,ดูดวงรายวัน
426,114,18 เมษายน 2556
427,114,ดูดวง
999,115,19 เมษายน 2556
998,115,ดูดวงรายวัน
431,116,ดร.สอาด ปิยวรรณ
432,116,ประวัติ ดร.สอาด ปิยวรรณ
433,117,ดูดวงรายวัน
434,117,20 เมษายน 2556
435,117,ดูดวง
977,118,21 เมษายน 2556
976,118,ดูดวงรายวัน
439,119,ดูดวงรายวัน
440,119,22 เมษายน 2556
441,119,ดูดวง
442,120,ดูดวงรายวัน
443,120,23 เมษายน 2556
444,120,ดูดวง
445,121,ดูดวงรายวัน
446,121,24 เมษายน 2556
447,121,ดูดวง
455,122,25 เมษายน 2556
454,122,ดูดวงรายวัน
451,123,ดูดวงรายวัน
452,123,26 เมษายน 2556
453,123,ดูดวง
456,122,ดูดวง
457,124,ดูดวงรายวัน
458,124,27 เมษายน 2556
459,124,ดูดวง
1054,125,ดูดวงรายวัน 28 เมษายน 2556 กับ มีสติดอทคอม | mesati.com
461,126,ดูดวงรายวัน 29 เมษายน 2556 กับ มีสติดอทคอม | mesati.com
462,127,ดูดวงรายวัน 30 เมษายน 2556 กับ มีสติดอทคอม | mesati.com
463,128,ดูดวงรายวัน 1 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
464,129,ดูดวงรายวัน 2 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
465,130,ดูดวงรายวัน 3 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
466,131,ดูดวงรายวัน 4 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
467,132,ดูดวงรายวัน 6 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
468,133,ดูดวงรายวัน 7 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
469,134,ดูดวงรายวัน 8 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
470,135,ดูดวงรายวัน 9 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
1216,136,ดูดวงรายวัน 10 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
1212,137,ดูดวงรายวัน 13 พฤษภาคม 2556 กับ มีสติดอทคอม | mesati.com
1187,101,ดูดวง
1190,100,ดูดวง
1193,99,ดูดวง
1198,97,3 เมษายน 2556
1220,8,งานศพ
1231,41,กลุ่มเพื่อนพ้องน้องพี่ กัลยาณี 06
684,0,<blank>
685,0,ลี กวน ยู
686,0,"""ลี"
687,0,กวน
688,0,"ยู"""
689,0,<blank>
690,0,"""ลี"
691,0,กวน
692,0,"ยู"""
693,0,"""ลี"
694,0,กวน
695,0,"ยู"""
696,0,<blank>
698,0,ลี กวน ยู
699,0,ลีกวนยู
700,0,ลีกวนยู
701,0,ลีกวนยู
702,0,ลีกวนยู
703,0,ลีกวนยู
706,0,asdasdas
715,0,ฟ
708,0,asdasdas
710,0,ลีกวนยู
711,0,ลีกวนยู
712,0,aaa
713,0,a
716,0,a
717,0,a
718,0,a
719,0,a
720,0,a
721,0,ฟหกฟหก
722,0,ฟหกฟหก
748,15,บทความ
749,15,มีสติ
750,15,พวงหรีด
751,15,งานศพ
752,7,บทความ
753,7,มีสติ
754,7,พวงหรีด
755,7,งานศพ
1219,8,พวงหรีด
1218,8,มีสติ
1217,8,บทความ
778,42,ชมรมนักพูดเพื่อสังคม
1006,27,พวงหรีด
1005,27,มีสติ
1004,27,บทความ
1046,35,พวงหรีด
1045,35,มีสติ
1044,35,บทความ
796,53,สำนักทรงเจ้า
797,53,พระพยอม
1052,25,พวงหรีด
1051,25,มีสติ
1050,25,บทความ
1145,38,พวงหรีด
1144,38,มีสติ
1143,38,บทความ
1019,33,พวงหรีด
1018,33,มีสติ
1017,33,บทความ
1012,90, พระราชทานเพลิงศพ
1033,26,พวงหรีด
1032,26,มีสติ
1031,26,บทความ
833,43,หลวงตาบัว
836,43,นมัสการ
1002,67,บุญชัย ปัณฑุรอัมพร
846,44,เจ้าภาพสวดศพ
1029,40,พวงหรีด
1028,40,มีสติ
1027,40,บทความ
855,104,แม่นาก
856,104,แม่นาค
1109,34,พวงหรีด
1108,34,มีสติ
1107,34,บทความ
1185,101,ดูดวงรายวัน
1188,100,ดูดวงรายวัน
1059,78,สัมนานอกสถานที่
1048,82,สถาพร กวิตานนท์
978,118,ดูดวง
1080,75,ตรุษจีน
993,59,พระพยอม
1069,39,พวงหรีด
1068,39,มีสติ
1067,39,บทความ
1000,115,ดูดวง
1003,67,ซาบีน่า
1007,27,งานศพ
1014,90,งานศพ
1015,90,<blank>
1020,33,งานศพ
1030,40,งานศพ
1034,26,งานศพ
1039,80,จุรี โอศิริ
1040,80,ป้าจุ๊
1047,35,งานศพ
1049,82,ประวัติ
1053,25,งานศพ
1062,78,ราชบุรี
1063,36,บทความ
1064,36,มีสติ
1065,36,พวงหรีด
1066,36,งานศพ
1070,39,งานศพ
1204,95,งานศพ
1184,102,ดูดวง
1086,81,ปิงปอง
1093,86,มีสติ
1094,86,เสียชีวิต
1110,34,งานศพ
1115,32,บทความ
1116,32,มีสติ
1117,32,พวงหรีด
1118,32,งานศพ
1142,50,โดนหลอก
1146,38,งานศพ
1148,84,งานศพ
1149,84,ไว้อาลัย
1153,76,ชราภาพ

